EPOCHS,MODEL,CUSTOM EMBEDDING,OPTIM,OUTPUT_SIZE,BATCH_SIZE,ACC_TRAIN,ACC_TEST,ERROR_TRAIN,ERROR_TEST
13,LSTM,True,"ADAM,0.001",16,50,85.00900864601135,73.90454411506653,0.3387490212917328,0.571519672870636
14,LSTM,True,"ADAM,0.001",16,50,85.50450205802917,75.83181858062744,0.32683065533638,0.5453007221221924
15,LSTM,True,"ADAM,0.001",16,50,85.99549531936646,75.10454654693604,0.3178597390651703,0.5622552037239075
1,LSTM,True,"ADAM,0.001",16,100,53.78378629684448,53.87272834777832,0.6877370476722717,0.6999932527542114
2,LSTM,True,"ADAM,0.001",16,100,64.527028799057,66.07272624969482,0.636176347732544,0.6162243485450745
3,LSTM,True,"ADAM,0.001",16,100,70.15765905380249,71.29545211791992,0.5714105367660522,0.5574076771736145
4,LSTM,True,"ADAM,0.001",16,100,74.46396350860596,73.7500011920929,0.51316237449646,0.5193626284599304
5,LSTM,True,"ADAM,0.001",16,100,76.78828835487366,73.781818151474,0.4763128161430359,0.5153140425682068
6,LSTM,True,"ADAM,0.001",16,100,78.65315079689026,75.24999976158142,0.45026886463165283,0.4984971880912781
7,LSTM,True,"ADAM,0.001",16,100,79.60810661315918,75.62727332115173,0.4295174479484558,0.49858546257019043
8,LSTM,True,"ADAM,0.001",16,100,80.6171178817749,75.73636174201965,0.4126214385032654,0.5003885626792908
9,LSTM,True,"ADAM,0.001",16,100,81.62612318992615,75.84999799728394,0.3959865868091583,0.4984683394432068
10,LSTM,True,"ADAM,0.001",16,100,82.36486315727234,75.84545612335205,0.3851405084133148,0.4953385293483734
11,LSTM,True,"ADAM,0.001",16,100,82.91891813278198,75.98181962966919,0.3753153681755066,0.5019926428794861
12,LSTM,True,"ADAM,0.001",16,100,83.72071981430054,75.83181858062744,0.3602343797683716,0.5176710486412048
13,LSTM,True,"ADAM,0.001",16,100,84.3153178691864,75.74545741081238,0.34939438104629517,0.5296553373336792
14,LSTM,True,"ADAM,0.001",16,100,84.88288521766663,75.73636174201965,0.33827346563339233,0.523017406463623
15,LSTM,True,"ADAM,0.001",16,100,84.94594693183899,76.25908851623535,0.33192890882492065,0.5360341668128967
1,LSTM,True,"ADAM,0.001",32,50,53.396397829055786,59.036362171173096,0.6887805461883545,0.6706103682518005
2,LSTM,True,"ADAM,0.001",32,50,65.49549698829651,68.86818408966064,0.6219522953033447,0.5889555215835571
3,LSTM,True,"ADAM,0.001",32,50,72.76126146316528,72.61363863945007,0.539836049079895,0.5378716588020325
4,LSTM,True,"ADAM,0.001",32,50,76.36036276817322,74.63181614875793,0.488112211227417,0.5226668119430542
5,LSTM,True,"ADAM,0.001",32,50,78.57657670974731,75.5545437335968,0.451730877161026,0.4993699789047241
6,LSTM,True,"ADAM,0.001",32,50,80.37837743759155,75.74545741081238,0.41894635558128357,0.5013256669044495
7,LSTM,True,"ADAM,0.001",32,50,81.84234499931335,75.79091191291809,0.39842870831489563,0.5225327014923096
8,LSTM,True,"ADAM,0.001",32,50,83.30180048942566,76.06818079948425,0.3711164891719818,0.5055123567581177
9,LSTM,True,"ADAM,0.001",32,50,84.62162017822266,76.00908875465393,0.34721285104751587,0.5202304124832153
10,LSTM,True,"ADAM,0.001",32,50,85.81531643867493,76.29091143608093,0.32594671845436096,0.5409592986106873
11,LSTM,True,"ADAM,0.001",32,50,86.972975730896,75.56818127632141,0.303180068731308,0.5720252394676208
